graph_id,model,n_nodes,m0,m,w,average_degree_of_separation,mean_degree_of_connection,standard_deviation_of_degrees_of_connection,degree_distribution,pearson_correlation_mean_separation_vs_degree_stdev
46,barabasi_albert,100,5,2,100,3.3646,4.0,2.349468024894146,"{8: 4, 12: 2, 7: 4, 9: 1, 6: 8, 10: 1, 13: 1, 3: 22, 4: 22, 5: 4, 2: 31}",-0.7870583029069778
47,barabasi_albert,100,5,2,100,3.272,4.0,2.5806975801127883,"{17: 1, 9: 4, 7: 4, 13: 1, 8: 2, 11: 1, 5: 12, 6: 5, 3: 15, 4: 17, 2: 38}",-0.7870583029069778
48,barabasi_albert,100,5,2,100,3.3254,4.0,2.5059928172283334,"{10: 2, 16: 1, 11: 1, 9: 3, 5: 16, 12: 1, 8: 2, 6: 3, 3: 19, 7: 1, 4: 17, 2: 34}",-0.7870583029069778
49,barabasi_albert,100,5,2,100,3.2106,4.0,2.705549851693737,"{8: 3, 10: 1, 17: 1, 9: 3, 11: 2, 12: 1, 6: 7, 5: 7, 2: 41, 3: 16, 4: 15, 7: 3}",-0.7870583029069778
50,barabasi_albert,100,5,2,100,3.34,4.0,2.553429066960741,"{9: 1, 12: 3, 15: 1, 10: 1, 7: 5, 6: 8, 5: 8, 4: 12, 2: 34, 8: 2, 3: 25}",-0.7870583029069778
51,barabasi_albert,100,5,2,100,3.3266,4.0,2.2891046284519194,"{6: 7, 8: 3, 10: 4, 9: 1, 13: 1, 7: 4, 5: 11, 3: 23, 4: 14, 2: 32}",-0.7870583029069778
52,barabasi_albert,100,5,2,100,3.3034,4.0,2.4859605789312105,"{10: 3, 14: 1, 12: 1, 5: 9, 8: 4, 6: 7, 7: 3, 9: 2, 4: 13, 3: 20, 2: 37}",-0.7870583029069778
53,barabasi_albert,100,5,2,100,3.3186,4.0,2.4331050121192876,"{8: 4, 9: 3, 14: 2, 10: 1, 4: 16, 6: 6, 7: 4, 5: 7, 3: 26, 2: 31}",-0.7870583029069778
54,barabasi_albert,100,5,2,100,3.2682,4.0,2.615339366124404,"{14: 1, 11: 1, 8: 2, 7: 5, 15: 1, 9: 1, 5: 11, 6: 6, 10: 1, 3: 28, 4: 9, 13: 1, 2: 33}",-0.7870583029069778
55,barabasi_albert,100,5,2,100,3.3364,4.0,2.328089345364563,"{10: 6, 11: 1, 8: 3, 7: 3, 4: 20, 6: 5, 3: 22, 5: 7, 9: 1, 2: 32}",-0.7870583029069778
56,barabasi_albert,100,5,2,100,3.3216,4.0,2.4413111231467406,"{9: 2, 8: 4, 11: 1, 7: 2, 13: 1, 6: 9, 16: 1, 5: 8, 4: 16, 3: 26, 2: 30}",-0.7870583029069778
57,barabasi_albert,100,5,2,100,3.3444,4.0,2.340939982143925,"{11: 3, 7: 2, 12: 1, 10: 1, 8: 3, 4: 14, 9: 2, 5: 16, 3: 21, 6: 4, 2: 33}",-0.7870583029069778
58,barabasi_albert,100,5,2,100,3.2874,4.0,2.4819347291981715,"{10: 2, 13: 1, 6: 5, 7: 7, 5: 9, 8: 5, 4: 8, 12: 1, 9: 2, 3: 21, 2: 39}",-0.7870583029069778
59,barabasi_albert,100,5,2,100,3.325,4.0,2.345207879911715,"{8: 4, 11: 2, 12: 2, 9: 3, 4: 19, 5: 11, 2: 30, 6: 3, 7: 2, 3: 24}",-0.7870583029069778
60,barabasi_albert,100,5,2,100,3.3086,4.0,2.4248711305964283,"{11: 2, 13: 1, 8: 5, 12: 1, 7: 5, 10: 1, 6: 6, 4: 15, 3: 26, 5: 6, 2: 32}",-0.7870583029069778
61,barabasi_albert,100,5,2,100,3.3092,4.0,2.3579652245103193,"{11: 1, 6: 11, 12: 1, 9: 1, 13: 1, 8: 2, 10: 2, 3: 25, 5: 9, 7: 3, 4: 12, 2: 32}",-0.7870583029069778
62,barabasi_albert,100,5,2,100,3.2784,4.0,2.4617067250182343,"{8: 4, 11: 2, 12: 1, 9: 2, 13: 1, 5: 11, 6: 5, 7: 5, 4: 16, 2: 40, 3: 13}",-0.7870583029069778
63,barabasi_albert,100,5,2,100,3.3342,4.0,2.453568829277059,"{11: 1, 10: 2, 13: 1, 12: 1, 8: 6, 6: 6, 7: 3, 4: 11, 9: 1, 3: 29, 5: 7, 2: 32}",-0.7870583029069778
64,barabasi_albert,100,5,2,100,3.2346,4.0,2.6720778431774774,"{11: 3, 15: 1, 12: 2, 7: 7, 6: 4, 5: 10, 3: 17, 4: 14, 10: 1, 2: 40, 8: 1}",-0.7870583029069778
65,barabasi_albert,100,5,2,100,3.3822,4.0,2.3194827009486403,"{9: 2, 14: 1, 11: 2, 5: 12, 6: 5, 8: 5, 7: 3, 4: 18, 2: 33, 3: 19}",-0.7870583029069778
66,barabasi_albert,100,5,2,100,3.2888,4.0,2.3790754506740637,"{9: 4, 12: 1, 10: 3, 6: 4, 8: 2, 3: 19, 5: 16, 11: 1, 4: 12, 7: 2, 2: 36}",-0.7870583029069778
67,barabasi_albert,100,5,2,100,3.3262,4.0,2.3366642891095846,"{11: 1, 8: 3, 7: 2, 13: 1, 9: 2, 6: 10, 5: 10, 12: 1, 4: 12, 10: 1, 2: 31, 3: 26}",-0.7870583029069778
68,barabasi_albert,100,5,2,100,3.3592,4.0,2.349468024894146,"{9: 3, 11: 1, 10: 4, 6: 7, 8: 4, 7: 3, 4: 12, 5: 7, 3: 26, 2: 33}",-0.7870583029069778
69,barabasi_albert,100,5,2,100,3.3424,4.0,2.453568829277059,"{9: 4, 10: 1, 12: 1, 15: 1, 6: 7, 8: 3, 5: 9, 7: 4, 3: 24, 4: 12, 2: 34}",-0.7870583029069778
70,barabasi_albert,100,5,2,100,3.2826,4.0,2.3748684174075834,"{10: 2, 13: 1, 7: 3, 9: 1, 8: 5, 11: 2, 3: 21, 5: 8, 4: 19, 6: 5, 2: 33}",-0.7870583029069778
71,barabasi_albert,100,5,2,100,3.355,4.0,2.222611077089287,"{9: 2, 8: 2, 10: 2, 14: 1, 6: 11, 5: 11, 7: 4, 3: 21, 2: 32, 4: 14}",-0.7870583029069778
72,barabasi_albert,100,5,2,100,3.2826,4.0,2.5179356624028344,"{9: 5, 8: 3, 16: 1, 6: 8, 13: 1, 7: 4, 4: 15, 5: 6, 2: 35, 3: 22}",-0.7870583029069778
73,barabasi_albert,100,5,2,100,3.3146,4.0,2.345207879911715,"{11: 2, 5: 11, 12: 2, 9: 1, 8: 1, 4: 16, 7: 7, 10: 1, 6: 5, 3: 21, 2: 33}",-0.7870583029069778
74,barabasi_albert,100,5,2,100,3.3362,4.0,2.4819347291981715,"{8: 4, 12: 1, 14: 1, 13: 1, 11: 1, 9: 2, 6: 8, 3: 21, 4: 16, 5: 10, 2: 34, 7: 1}",-0.7870583029069778
75,barabasi_albert,100,5,2,100,3.2536,4.0,2.6608269391300143,"{12: 1, 10: 2, 5: 8, 13: 1, 17: 1, 8: 3, 6: 7, 9: 1, 11: 1, 2: 32, 7: 1, 3: 27, 4: 15}",-0.7870583029069778
76,barabasi_albert,100,5,2,100,3.2644,4.0,2.592296279363144,"{12: 1, 8: 3, 10: 1, 14: 1, 13: 2, 9: 2, 3: 21, 6: 9, 4: 18, 5: 6, 2: 35, 7: 1}",-0.7870583029069778
77,barabasi_albert,100,5,2,100,3.3894,4.0,2.293468988235943,"{7: 6, 15: 1, 9: 1, 10: 3, 6: 7, 5: 11, 8: 2, 4: 15, 3: 23, 2: 31}",-0.7870583029069778
78,barabasi_albert,100,5,2,100,3.3584,4.0,2.222611077089287,"{6: 9, 11: 1, 12: 1, 7: 5, 9: 5, 5: 10, 8: 1, 4: 12, 3: 25, 2: 31}",-0.7870583029069778
79,barabasi_albert,100,5,2,100,3.2164,4.0,2.7202941017470885,"{9: 4, 18: 1, 10: 2, 4: 14, 14: 1, 7: 4, 6: 6, 8: 2, 5: 8, 3: 20, 2: 38}",-0.7870583029069778
80,barabasi_albert,100,5,2,100,3.3716,4.0,2.3790754506740637,"{15: 1, 9: 4, 13: 1, 8: 3, 7: 3, 5: 11, 6: 7, 3: 22, 4: 16, 2: 32}",-0.7870583029069778
81,barabasi_albert,100,5,2,100,3.309,4.0,2.3832750575625967,"{11: 3, 7: 6, 15: 1, 8: 3, 4: 15, 2: 33, 6: 9, 3: 22, 5: 8}",-0.7870583029069778
82,barabasi_albert,100,5,2,100,3.3888,4.0,2.2181073012818833,"{13: 1, 8: 3, 9: 2, 7: 7, 6: 7, 4: 14, 12: 1, 5: 11, 3: 23, 2: 31}",-0.7870583029069778
83,barabasi_albert,100,5,2,100,3.2918,4.0,2.5768197453450252,"{16: 1, 9: 3, 12: 2, 5: 9, 10: 1, 6: 7, 11: 1, 8: 2, 4: 15, 3: 26, 2: 32, 7: 1}",-0.7870583029069778
84,barabasi_albert,100,5,2,100,3.3498,4.0,2.3958297101421877,"{14: 1, 7: 5, 11: 4, 5: 12, 10: 1, 8: 1, 4: 18, 6: 5, 3: 21, 2: 32}",-0.7870583029069778
85,barabasi_albert,100,5,2,100,3.368,4.0,2.227105745132009,"{13: 1, 10: 2, 9: 1, 7: 4, 5: 8, 11: 1, 8: 3, 6: 9, 3: 25, 4: 17, 2: 29}",-0.7870583029069778
86,barabasi_albert,100,5,2,100,3.4158,4.0,2.1447610589527217,"{8: 2, 9: 1, 11: 3, 6: 13, 5: 9, 7: 5, 4: 16, 3: 18, 2: 33}",-0.7870583029069778
87,barabasi_albert,100,5,2,100,3.3674,4.0,2.3579652245103193,"{6: 8, 10: 1, 12: 1, 11: 1, 13: 1, 8: 3, 5: 13, 4: 11, 9: 1, 3: 19, 7: 5, 2: 36}",-0.7870583029069778
88,barabasi_albert,100,5,2,100,3.2688,4.0,2.5573423705088842,"{13: 1, 11: 1, 12: 2, 9: 3, 5: 5, 6: 7, 4: 16, 8: 6, 2: 39, 3: 18, 7: 2}",-0.7870583029069778
89,barabasi_albert,100,5,2,100,3.3156,4.0,2.4166091947189146,"{11: 2, 10: 2, 8: 3, 14: 1, 7: 5, 5: 9, 6: 11, 3: 20, 4: 10, 2: 37}",-0.7870583029069778
