graph_id,model,n_nodes,n_edges_target,m0,w,average_degree_of_separation,mean_degree_of_connection,standard_deviation_of_degrees_of_connection,degree_distribution,pearson_correlation_mean_separation_vs_degree_stdev
54,barabasi_albert,100,150,5,10,4.2346,3.0,1.7204650534085253,"{7: 2, 5: 9, 9: 1, 8: 2, 4: 18, 6: 2, 3: 20, 1: 20, 2: 26}",-0.7042621390296911
55,barabasi_albert,100,150,5,10,4.3538,3.0,2.0149441679609885,"{9: 2, 7: 2, 5: 9, 10: 1, 2: 18, 4: 10, 8: 2, 6: 3, 3: 25, 1: 28}",-0.7042621390296911
56,barabasi_albert,100,150,5,10,3.9688,3.0,2.1260291625469296,"{8: 3, 9: 1, 6: 6, 7: 5, 10: 1, 3: 19, 5: 3, 1: 28, 2: 25, 4: 9}",-0.7042621390296911
57,barabasi_albert,100,150,5,10,4.068,3.0,1.9026297590440449,"{7: 4, 5: 10, 8: 1, 4: 7, 10: 1, 9: 2, 1: 19, 3: 27, 2: 29}",-0.7042621390296911
58,barabasi_albert,100,150,5,10,4.1696,3.0,1.8439088914585775,"{4: 17, 8: 3, 6: 4, 7: 2, 9: 1, 2: 28, 1: 22, 3: 16, 5: 7}",-0.7042621390296911
59,barabasi_albert,100,150,5,10,4.1268,3.0,2.0542638584174138,"{7: 3, 6: 8, 5: 7, 9: 3, 3: 18, 2: 26, 4: 7, 8: 1, 1: 27}",-0.7042621390296911
60,barabasi_albert,100,150,5,10,4.2114,3.0,1.9287301521985911,"{7: 3, 8: 2, 6: 6, 4: 11, 3: 12, 1: 25, 9: 1, 2: 29, 5: 11}",-0.7042621390296911
61,barabasi_albert,100,150,5,10,4.228,3.0,1.7492855684535902,"{5: 8, 7: 2, 6: 4, 4: 16, 9: 1, 8: 2, 3: 17, 2: 32, 1: 18}",-0.7042621390296911
62,barabasi_albert,100,150,5,10,4.2678,3.0,1.8708286933869707,"{8: 2, 9: 1, 4: 11, 6: 5, 5: 5, 7: 2, 3: 26, 10: 1, 2: 27, 1: 20}",-0.7042621390296911
63,barabasi_albert,100,150,5,10,4.4074,3.0,1.5874507866387544,"{7: 1, 10: 1, 5: 13, 6: 3, 4: 15, 2: 29, 3: 22, 1: 16}",-0.7042621390296911
64,barabasi_albert,100,150,5,10,4.2586,3.0,1.5811388300841898,"{6: 6, 7: 1, 1: 18, 5: 11, 3: 24, 4: 13, 8: 1, 2: 26}",-0.7042621390296911
65,barabasi_albert,100,150,5,10,4.3296,3.0,1.7492855684535902,"{6: 5, 7: 4, 8: 1, 5: 10, 4: 14, 3: 20, 2: 22, 1: 24}",-0.7042621390296911
66,barabasi_albert,100,150,5,10,4.1808,3.0,1.8220867158288598,"{4: 12, 5: 11, 7: 3, 8: 2, 6: 2, 10: 1, 2: 27, 1: 21, 3: 21}",-0.7042621390296911
67,barabasi_albert,100,150,5,10,4.0724,3.0,1.9131126469708992,"{8: 5, 6: 4, 4: 14, 1: 22, 7: 3, 3: 15, 5: 6, 2: 31}",-0.7042621390296911
68,barabasi_albert,100,150,5,10,4.2116,3.0,1.7435595774162693,"{8: 3, 5: 7, 6: 2, 4: 14, 1: 20, 2: 25, 7: 4, 3: 25}",-0.7042621390296911
69,barabasi_albert,100,150,5,10,4.1256,3.0,1.9026297590440449,"{6: 6, 7: 3, 8: 3, 3: 19, 5: 7, 2: 33, 9: 1, 4: 8, 1: 20}",-0.7042621390296911
70,barabasi_albert,100,150,5,10,4.4498,3.0,1.5811388300841898,"{4: 17, 8: 1, 7: 1, 5: 10, 6: 6, 2: 30, 3: 18, 1: 17}",-0.7042621390296911
71,barabasi_albert,100,150,5,10,4.258,3.0,1.6552945357246849,"{5: 10, 4: 16, 10: 1, 7: 2, 6: 4, 2: 25, 3: 23, 1: 19}",-0.7042621390296911
72,barabasi_albert,100,150,5,10,4.185,3.0,1.7320508075688772,"{5: 11, 7: 4, 6: 4, 9: 1, 3: 17, 4: 13, 1: 19, 2: 31}",-0.7042621390296911
73,barabasi_albert,100,150,5,10,4.1068,3.0,1.8920887928424501,"{9: 3, 4: 15, 5: 6, 6: 4, 2: 26, 3: 23, 7: 1, 10: 1, 1: 21}",-0.7042621390296911
74,barabasi_albert,100,150,5,10,4.2898,3.0,1.833030277982336,"{7: 2, 8: 2, 6: 3, 12: 1, 5: 5, 2: 23, 4: 19, 3: 24, 1: 21}",-0.7042621390296911
75,barabasi_albert,100,150,5,10,4.3858,3.0,1.6792855623746665,"{7: 3, 8: 1, 6: 4, 4: 14, 5: 12, 3: 21, 1: 22, 2: 23}",-0.7042621390296911
76,barabasi_albert,100,150,5,10,4.2726,3.0,1.8110770276274832,"{5: 8, 6: 5, 7: 2, 9: 2, 3: 20, 4: 13, 2: 29, 8: 1, 1: 20}",-0.7042621390296911
77,barabasi_albert,100,150,5,10,4.1396,3.0,1.8384776310850235,"{8: 2, 7: 3, 10: 1, 6: 4, 5: 8, 3: 28, 4: 10, 1: 23, 2: 21}",-0.7042621390296911
78,barabasi_albert,100,150,5,10,4.1042,3.0,1.9131126469708992,"{6: 2, 7: 2, 8: 3, 3: 19, 5: 9, 2: 30, 4: 14, 12: 1, 1: 20}",-0.7042621390296911
79,barabasi_albert,100,150,5,10,4.006,3.0,1.9287301521985911,"{7: 3, 5: 4, 9: 2, 13: 1, 3: 32, 2: 26, 1: 18, 4: 11, 6: 3}",-0.7042621390296911
80,barabasi_albert,100,150,5,10,4.2458,3.0,1.6792855623746665,"{7: 4, 5: 11, 6: 6, 2: 25, 4: 11, 3: 22, 1: 21}",-0.7042621390296911
81,barabasi_albert,100,150,5,10,4.105,3.0,1.969771560359221,"{6: 4, 5: 7, 10: 3, 8: 2, 4: 13, 2: 26, 3: 23, 1: 22}",-0.7042621390296911
82,barabasi_albert,100,150,5,10,4.0808,3.0,1.98997487421324,"{9: 1, 8: 3, 6: 6, 3: 18, 4: 6, 2: 32, 5: 10, 10: 1, 1: 22, 7: 1}",-0.7042621390296911
83,barabasi_albert,100,150,5,10,4.2264,3.0,1.8920887928424501,"{5: 9, 11: 1, 8: 2, 3: 28, 9: 1, 6: 1, 4: 9, 2: 26, 1: 20, 7: 3}",-0.7042621390296911
84,barabasi_albert,100,150,5,10,4.0928,3.0,1.8055470085267789,"{7: 2, 6: 6, 8: 1, 10: 1, 5: 8, 3: 17, 4: 17, 2: 25, 1: 23}",-0.7042621390296911
85,barabasi_albert,100,150,5,10,4.12,3.0,1.8814887722226779,"{6: 4, 5: 9, 9: 2, 11: 1, 3: 22, 2: 32, 4: 10, 1: 18, 7: 2}",-0.7042621390296911
86,barabasi_albert,100,150,5,10,4.1992,3.0,1.8,"{5: 7, 4: 16, 10: 2, 7: 2, 2: 29, 6: 5, 3: 20, 1: 19}",-0.7042621390296911
87,barabasi_albert,100,150,5,10,4.3024,3.0,1.61245154965971,"{6: 2, 4: 24, 7: 1, 5: 9, 1: 21, 9: 1, 8: 1, 3: 20, 2: 21}",-0.7042621390296911
88,barabasi_albert,100,150,5,10,4.1896,3.0,1.9131126469708992,"{4: 15, 6: 6, 10: 1, 7: 3, 9: 1, 2: 24, 1: 26, 5: 9, 3: 15}",-0.7042621390296911
89,barabasi_albert,100,150,5,10,4.1988,3.0,1.7663521732655694,"{7: 3, 8: 1, 6: 4, 5: 9, 4: 17, 2: 26, 3: 17, 9: 1, 1: 22}",-0.7042621390296911
90,barabasi_albert,100,150,5,10,4.1674,3.0,1.9595917942265424,"{8: 3, 6: 4, 13: 1, 5: 8, 3: 18, 4: 9, 7: 2, 2: 40, 1: 15}",-0.7042621390296911
91,barabasi_albert,100,150,5,10,4.3112,3.0,1.6852299546352716,"{7: 4, 8: 1, 6: 4, 4: 12, 5: 11, 1: 18, 2: 31, 3: 19}",-0.7042621390296911
92,barabasi_albert,100,150,5,10,4.2632,3.0,1.8220867158288598,"{5: 5, 8: 2, 10: 2, 6: 1, 2: 24, 3: 25, 4: 19, 7: 2, 1: 20}",-0.7042621390296911
93,barabasi_albert,100,150,5,10,4.2148,3.0,1.6792855623746665,"{5: 7, 8: 1, 7: 5, 6: 4, 3: 24, 1: 18, 4: 13, 2: 28}",-0.7042621390296911
94,barabasi_albert,100,150,5,10,4.2024,3.0,1.816590212458495,"{7: 2, 8: 2, 6: 4, 5: 9, 10: 1, 4: 14, 3: 21, 2: 25, 1: 22}",-0.7042621390296911
95,barabasi_albert,100,150,5,10,4.229,3.0,1.6613247725836149,"{4: 15, 6: 6, 8: 1, 7: 2, 3: 24, 9: 1, 2: 30, 5: 5, 1: 16}",-0.7042621390296911
96,barabasi_albert,100,150,5,10,4.1894,3.0,1.6733200530681511,"{7: 3, 6: 3, 4: 16, 9: 1, 3: 23, 5: 11, 2: 21, 1: 22}",-0.7042621390296911
97,barabasi_albert,100,150,5,10,4.3058,3.0,1.6911534525287764,"{5: 7, 6: 6, 9: 2, 2: 28, 3: 22, 4: 16, 7: 1, 1: 18}",-0.7042621390296911
98,barabasi_albert,100,150,5,10,4.1312,3.0,1.8055470085267789,"{6: 6, 9: 1, 8: 3, 4: 15, 3: 22, 7: 1, 2: 26, 5: 5, 1: 21}",-0.7042621390296911
